group,gene,Locus,cys_frac
Bird,V,IGH,0.013986013986013986
Bird,V,IGH,0.027491408934707903
Bird,V,IGH,0.04411764705882353
Bird,V,IGH,0.019736842105263157
Bird,V,IGH,0.027777777777777776
Bird,V,IGH,0.02097902097902098
Bird,V,IGH,0.02912621359223301
Bird,V,IGH,0.023411371237458192
Bird,V,IGH,0.021052631578947368
Bird,V,IGH,0.02631578947368421
Bird,V,IGH,0.021052631578947368
Bird,V,IGH,0.02631578947368421
Bird,V,IGH,0.02348993288590604
Bird,V,IGH,0.014336917562724014
Bird,V,IGH,0.03
Bird,V,IGH,0.03202846975088968
Bird,V,IGH,0.015822784810126583
Bird,V,IGH,0.013377926421404682
Bird,V,IGH,0.026402640264026403
Bird,V,IGL,0.027303754266211604
Bird,V,IGL,0.020905923344947737
Bird,V,IGL,0.03125
Bird,V,IGL,0.02413793103448276
Bird,V,IGL,0.03202846975088968
Bird,V,IGL,0.028469750889679714
Bird,V,IGL,0.058394160583941604
Bird,V,IGL,0.0364963503649635
Bird,V,IGL,0.030100334448160536
Bird,V,IGL,0.04225352112676056
Bird,V,IGL,0.030716723549488054
Bird,V,IGL,0.0313588850174216
Bird,V,IGL,0.02711864406779661
Bird,V,IGL,0.030303030303030304
Bird,V,IGL,0.02364864864864865
Bird,V,IGL,0.03436426116838488
Bird,V,IGL,0.02464788732394366
Bird,V,IGL,0.030927835051546393
Bird,V,IGL,0.03484320557491289
Bird,V,IGL,0.0231023102310231
Bird,V,TRA,0.028985507246376812
Bird,V,TRA,0.056338028169014086
Bird,V,TRA,0.03985507246376811
Bird,V,TRA,0.02564102564102564
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.028985507246376812
Bird,V,TRA,0.03663003663003663
Bird,V,TRA,0.025547445255474453
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.04710144927536232
Bird,V,TRA,0.029411764705882353
Bird,V,TRA,0.028985507246376812
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.03985507246376811
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.036231884057971016
Bird,V,TRA,0.029304029304029304
Bird,V,TRA,0.03985507246376811
Bird,V,TRA,0.03260869565217391
Bird,V,TRA,0.03985507246376811
Bird,V,TRA,0.025735294117647058
Bird,V,TRA,0.03260869565217391
Bird,V,TRA,0.028985507246376812
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.03985507246376811
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.03985507246376811
Bird,V,TRA,0.025362318840579712
Bird,V,TRA,0.03985507246376811
Bird,V,TRA,0.029304029304029304
Bird,V,TRA,0.043478260869565216
Bird,V,TRA,0.028985507246376812
Bird,V,TRA,0.03663003663003663
Bird,V,TRA,0.041044776119402986
Bird,V,TRA,0.03676470588235294
Bird,V,TRA,0.05985915492957746
Bird,V,TRB,0.028169014084507043
Bird,V,TRB,0.04225352112676056
Bird,V,TRB,0.028169014084507043
Bird,V,TRB,0.028169014084507043
Bird,V,TRB,0.03169014084507042
Bird,V,TRB,0.045774647887323945
Bird,V,TRB,0.045774647887323945
Bird,V,TRB,0.03436426116838488
Bird,V,TRG,0.026578073089700997
Bird,V,TRG,0.03289473684210526
Bird,V,TRG,0.03289473684210526
Bird,V,TRG,0.04040404040404041
Bird,V,TRG,0.029605263157894735
Bird,V,TRG,0.029850746268656716
Bird,V,IGH,0.026402640264026403
Bird,V,IGH,0.023255813953488372
Bird,V,IGH,0.015625
Bird,V,IGH,0.03125
Bird,V,IGH,0.023178807947019868
Bird,V,IGH,0.023255813953488372
Bird,V,IGH,0.026578073089700997
Bird,V,IGH,0.016129032258064516
Bird,V,IGH,0.026578073089700997
Bird,V,IGH,0.016129032258064516
Bird,V,IGH,0.029900332225913623
Bird,V,IGH,0.020338983050847456
Bird,V,IGH,0.026578073089700997
Bird,V,IGH,0.024822695035460994
Bird,V,IGH,0.029900332225913623
Bird,V,IGH,0.02097902097902098
Bird,V,IGH,0.018315018315018316
Bird,V,IGH,0.03214285714285714
Bird,V,IGH,0.024305555555555556
Bird,V,IGH,0.01644736842105263
Bird,V,IGH,0.030716723549488054
Bird,V,IGH,0.014134275618374558
Bird,V,IGL,0.027303754266211604
Bird,V,IGL,0.021352313167259787
Bird,V,IGL,0.05514705882352941
Bird,V,IGL,0.021352313167259787
Bird,V,IGL,0.05474452554744526
Bird,V,IGL,0.03690036900369004
Bird,V,IGL,0.033444816053511704
Bird,V,IGL,0.03202846975088968
Bird,V,IGL,0.08832807570977919
Bird,V,IGL,0.0313588850174216
Bird,V,IGL,0.02702702702702703
Bird,V,IGL,0.030716723549488054
Bird,V,IGL,0.020338983050847456
Bird,V,IGL,0.02702702702702703
Bird,V,IGL,0.03180212014134275
Bird,V,IGL,0.028169014084507043
Bird,V,IGL,0.03
Bird,V,IGL,0.0313588850174216
Bird,V,IGL,0.026402640264026403
